siteID,Name,lon_WGS84,lat_WGS84,IDTM_X,IDTM_Y
Site-01,Harder Am Game Vanderford Grazing Area,-112.779123651256,42.987044713232,2599533.0656856,1310323.01086516
Site-02,Harder Am Game Vanderford Grazing Area,-112.783514778395,42.9852452935229,2599177.9642818,1310117.99297409
Site-03,Harder Am Game Vanderford Grazing Area,-112.778306465566,42.9916514375978,2599592.2492529,1310835.55559284
Site-04,Harder Am Game Vanderford Grazing Area,-112.778094993483,42.9901106987025,2599611.97710867,1310664.70735028
Site-05,Harder Am Game Vanderford Grazing Area,-112.785425928548,42.9864963781722,2599020.14143567,1310254.67156814
Site-06,Harder Am Game Vanderford Grazing Area,-112.781615857575,42.9833789137202,2599335.78712794,1309912.97508302
Site-07,Harder Am Game Vanderford Grazing Area,-112.772227181148,42.9931248598674,2600085.44564706,1311006.4038354
Site-08,Harder Am Game Vanderford Grazing Area,-112.776444128193,42.9879391864092,2599750.07209903,1310425.5198107
Site-09,Harder Am Game Vanderford Grazing Area,-112.787161760926,42.9843609107146,2598882.0464453,1310015.48402855
Site-10,Harder Am Game Vanderford Grazing Area,-112.781912439215,42.9806128001302,2599316.05927217,1309605.44824641
Site-11,Harder Am Game Vanderford Grazing Area,-112.775142829125,42.992540710276,2599848.71137787,1310938.06453838
Site-12,Harder Am Game Vanderford Grazing Area,-112.783181827442,42.9898572008316,2599197.69213757,1310630.53770177
Site-13,Harder Am Game Vanderford Grazing Area,-112.781555095472,42.9864552326302,2599335.78712794,1310254.67156814
Site-14,Harder Am Game Vanderford Grazing Area,-112.775838146657,42.9940866304714,2599789.52781057,1311108.91278094
Site-15,Harder Am Game Vanderford Grazing Area,-112.773243945271,42.9906741942383,2600006.534224,1310733.04664731
Site-16,Harder Am Game Vanderford Grazing Area,-112.780315047025,42.9879805059274,2599434.42640677,1310425.5198107
Site-17,Harder Am Game Vanderford Grazing Area,-112.779172359695,42.9845836607244,2599533.0656856,1310049.65367707
Site-18,Harder Am Game Vanderford Grazing Area,-112.783327463091,42.9824740324835,2599197.69213757,1309810.46613748
Site-19,Harder Am Game Vanderford Grazing Area,-112.773654424166,42.99437094702,2599967.07851247,1311143.08242945
Site-20,Harder Am Game Vanderford Grazing Area,-112.775415321819,42.9910051454935,2599828.9835221,1310767.21629582
Site-21,Harder Am Game Vanderford Grazing Area,-112.784917833979,42.9877217707566,2599059.5971472,1310391.35016219
Site-22,Harder Am Game Vanderford Grazing Area,-112.780436691802,42.9818278708628,2599434.42640677,1309742.12684046
Site-23,Harder Am Game Vanderford Grazing Area,-112.772499749201,42.9915893031122,2600065.7177913,1310835.55559284
Site-24,Harder Am Game Vanderford Grazing Area,-112.777387465699,42.9891800534164,2599671.16067597,1310562.19840475
Site-25,Harder Am Game Vanderford Grazing Area,-112.786677922782,42.9843557822198,2598921.50215684,1310015.48402855
Site-26,Harder Am Game Vanderford Grazing Area,-112.786442055615,42.9840455847216,2598941.2300126,1309981.31438004
Site-27,Harder Am Game Vanderford Grazing Area,-112.773975888608,42.9903743415891,2599947.3506567,1310698.8769988
Site-28,Harder Am Game Vanderford Grazing Area,-112.78025421028,42.9910568208661,2599434.42640677,1310767.21629582
Site-29,Harder Am Game Vanderford Grazing Area,-112.780859715511,42.9849093444459,2599394.97069523,1310083.82332558
