siteID,Name,lon_WGS84,lat_WGS84,IDTM_X,IDTM_Y
Site-01,JohnsonWetland UnitControl,-112.779774203135,42.971568809077,2599504.98410735,1308603.64561353
Site-02,JohnsonWetland UnitControl,-112.782057012925,42.9790098248398,2599306.85149325,1309427.26742376
Site-03,JohnsonWetland UnitControl,-112.77943962762,42.9762006795813,2599524.79736876,1309118.40924492
Site-04,JohnsonWetland UnitControl,-112.775226260754,42.9681209064574,2599881.43607414,1308226.15228384
Site-05,JohnsonWetland UnitControl,-112.785956293922,42.9784331964334,2598989.83931069,1309358.63227291
Site-06,JohnsonWetland UnitControl,-112.780672611514,42.9752867350738,2599425.73106171,1309015.45651865
Site-07,JohnsonWetland UnitControl,-112.776373390805,42.971532499947,2599782.36976709,1308603.64561353
Site-08,JohnsonWetland UnitControl,-112.775924328338,42.9696735218256,2599821.99628991,1308397.74016098
Site-09,JohnsonWetland UnitControl,-112.783539048458,42.977789470991,2599187.97192479,1309289.99712205
Site-10,JohnsonWetland UnitControl,-112.779913276738,42.9768237881223,2599485.17084594,1309187.04439578
Site-11,JohnsonWetland UnitControl,-112.778765858498,42.9734122295828,2599584.23715299,1308809.55106609
Site-12,JohnsonWetland UnitControl,-112.778626883679,42.9681572473705,2599604.0504144,1308226.15228384
Site-13,JohnsonWetland UnitControl,-112.784735494101,42.9787292688305,2599088.90561774,1309392.94984833
Site-14,JohnsonWetland UnitControl,-112.778267780042,42.9740249721192,2599623.86367581,1308878.18621694
Site-15,JohnsonWetland UnitControl,-112.775887560988,42.9715273046823,2599821.99628991,1308603.64561353
Site-16,JohnsonWetland UnitControl,-112.77716947308,42.968141685061,2599722.92998286,1308226.15228384
Site-17,JohnsonWetland UnitControl,-112.782142388014,42.9746843262598,2599306.85149325,1308946.82136779
Site-18,JohnsonWetland UnitControl,-112.778802541825,42.9715584453475,2599584.23715299,1308603.64561353
Site-19,JohnsonWetland UnitControl,-112.775699806783,42.9687440320075,2599841.80955132,1308294.7874347
Site-20,JohnsonWetland UnitControl,-112.779949929971,42.9749700042033,2599485.17084594,1308981.13894322
Site-21,JohnsonWetland UnitControl,-112.777594085538,42.9712365151284,2599683.30346004,1308569.32803811
Site-22,JohnsonWetland UnitControl,-112.773246205845,42.96995387641,2600039.94216543,1308432.0577364
Site-23,JohnsonWetland UnitControl,-112.78569510914,42.9793575125256,2599009.6525721,1309461.58499919
Site-24,JohnsonWetland UnitControl,-112.778280013452,42.9734070442917,2599623.86367581,1308809.55106609
Site-25,JohnsonWetland UnitControl,-112.776920449122,42.968448053591,2599742.74324427,1308260.46985927
Site-26,JohnsonWetland UnitControl,-112.783053168089,42.9777843055398,2599227.59844761,1309289.99712205
Site-27,JohnsonWetland UnitControl,-112.778990441749,42.9743417134211,2599564.42389158,1308912.50379237
Site-28,JohnsonWetland UnitControl,-112.778341174705,42.9703174041073,2599623.86367581,1308466.37531183
Site-29,JohnsonWetland UnitControl,-112.780946059515,42.9737445021087,2599405.9178003,1308843.86864151
Site-30,JohnsonWetland UnitControl,-112.782130192729,42.9753022548376,2599306.85149325,1309015.45651865
Site-31,JohnsonWetland UnitControl,-112.779276149888,42.9721815565026,2599544.61063017,1308672.28076438
Site-32,JohnsonWetland UnitControl,-112.783551230696,42.9771715423591,2599187.97192479,1309221.3619712
Site-33,JohnsonWetland UnitControl,-112.782603862583,42.9759253525877,2599267.22497043,1309084.0916695
Site-34,JohnsonWetland UnitControl,-112.778541281703,42.9724827452393,2599604.0504144,1308706.59833981
Site-35,JohnsonWetland UnitControl,-112.773981068695,42.9696527214924,2599980.5023812,1308397.74016098
Site-36,JohnsonWetland UnitControl,-112.785506896408,42.9765742539559,2599029.46583351,1309152.72682035
Site-37,JohnsonWetland UnitControl,-112.777569606453,42.9724723708679,2599683.30346004,1308706.59833981
Site-38,JohnsonWetland UnitControl,-112.777394014852,42.969071172338,2599703.11672145,1308329.10501012
Site-39,JohnsonWetland UnitControl,-112.78159552775,42.9777687968143,2599346.47801607,1309289.99712205
Site-40,JohnsonWetland UnitControl,-112.774181020907,42.9718180685746,2599960.68911979,1308637.96318896
Site-41,JohnsonWetland UnitControl,-112.777369533613,42.9703070284544,2599703.11672145,1308466.37531183
Site-42,JohnsonWetland UnitControl,-112.780958265992,42.9731265736343,2599405.9178003,1308775.23349066
Site-43,JohnsonWetland UnitControl,-112.773507533421,42.9690295890557,2600020.12890402,1308329.10501012
Site-44,JohnsonWetland UnitControl,-112.784498636686,42.9784177244912,2599108.71887915,1309358.63227291
Site-45,JohnsonWetland UnitControl,-112.781134060614,42.9765277668922,2599386.10453889,1309152.72682035
Site-46,JohnsonWetland UnitControl,-112.785209216036,42.9793523560764,2599049.27909492,1309461.58499919
Site-47,JohnsonWetland UnitControl,-112.784298305891,42.9762523931754,2599128.53214056,1309118.40924492
Site-48,JohnsonWetland UnitControl,-112.776087584741,42.9736926486401,2599802.1830285,1308843.86864151
Site-49,JohnsonWetland UnitControl,-112.77728383709,42.9746325226639,2599703.11672145,1308946.82136779
Site-50,JohnsonWetland UnitControl,-112.775140420584,42.9724463988617,2599881.43607414,1308706.59833981
Site-51,JohnsonWetland UnitControl,-112.777144988141,42.9693775412753,2599722.92998286,1308363.42258555
